NORP,Count,Network,Year
british,818,FBC,2022
democratic,777,FBC,2022
christian,724,FBC,2022
sean,584,FBC,2022
hispanic,503,FBC,2022
french,480,FBC,2022
mexican,418,FBC,2022
iranian,405,FBC,2022
saudi,359,FBC,2022
asian,358,FBC,2022
canadian,358,FBC,2022
europeans,345,FBC,2022
communist,330,FBC,2022
german,294,FBC,2022
iranians,284,FBC,2022
ukrainian,264,FBC,2022
hispanics,233,FBC,2022
jewish,228,FBC,2022
ian,213,FBC,2022
japanese,212,FBC,2022
soviet,203,FBC,2022
italian,181,FBC,2022
polish,178,FBC,2022
dutch,165,FBC,2022
germans,158,FBC,2022
australian,125,FBC,2022
taiwanese,123,FBC,2022
israeli,114,FBC,2022
arab,99,FBC,2022
norwegian,99,FBC,2022
californians,98,FBC,2022
cuban,85,FBC,2022
socialists,84,FBC,2022
african-american,79,FBC,2022
christians,77,FBC,2022
cityserve.us,76,FBC,2022
texans,76,FBC,2022
afghan,76,FBC,2022
spanish,75,FBC,2022
jean,73,FBC,2022
democrats,23156,FBC,2018
american,18136,FBC,2018
republicans,15265,FBC,2018
republican,9681,FBC,2018
chinese,9641,FBC,2018
americans,8229,FBC,2018
democrat,5178,FBC,2018
russian,4039,FBC,2018
russians,2644,FBC,2018
european,2300,FBC,2018
democratic,1914,FBC,2018
iranian,1385,FBC,2018
north korean,1305,FBC,2018
british,1171,FBC,2018
french,1094,FBC,2018
dems,1011,FBC,2018
canadian,967,FBC,2018
europeans,959,FBC,2018
mexican,959,FBC,2018
saudi,942,FBC,2018
north koreans,800,FBC,2018
iranians,736,FBC,2018
asian,688,FBC,2018
japanese,660,FBC,2018
korean,643,FBC,2018
italian,625,FBC,2018
koreans,623,FBC,2018
german,609,FBC,2018
sean,504,FBC,2018
christian,482,FBC,2018
hispanic,473,FBC,2018
south korean,423,FBC,2018
soviet,401,FBC,2018
african-american,362,FBC,2018
israeli,319,FBC,2018
jewish,315,FBC,2018
muslim,296,FBC,2018
christians,272,FBC,2018
jews,269,FBC,2018
syrian,258,FBC,2018
socialists,242,FBC,2018
canadians,223,FBC,2018
cme,220,FBC,2018
south koreans,216,FBC,2018
mexicans,215,FBC,2018
african-americans,214,FBC,2018
germans,208,FBC,2018
turkish,192,FBC,2018
palestinians,191,FBC,2018
north american,182,FBC,2018
american,8218,FBC,2024
democrats,5888,FBC,2024
americans,5255,FBC,2024
republicans,4332,FBC,2024
chinese,3025,FBC,2024
republican,2912,FBC,2024
democrat,2199,FBC,2024
israeli,968,FBC,2024
jewish,863,FBC,2024
russian,759,FBC,2024
iranian,723,FBC,2024
israelis,484,FBC,2024
sean,481,FBC,2024
european,430,FBC,2024
hispanic,406,FBC,2024
palestinian,405,FBC,2024
democratic,359,FBC,2024
palestinians,279,FBC,2024
french,256,FBC,2024
communist,250,FBC,2024
mexican,244,FBC,2024
jews,242,FBC,2024
iranians,240,FBC,2024
hispanics,237,FBC,2024
russians,203,FBC,2024
creepy,158,FBC,2024
christian,147,FBC,2024
asian,147,FBC,2024
british,138,FBC,2024
pro-palestinian,122,FBC,2024
japanese,121,FBC,2024
african-american,117,FBC,2024
arab,114,FBC,2024
europeans,92,FBC,2024
african-americans,88,FBC,2024
italian,87,FBC,2024
anti-american,84,FBC,2024
german,78,FBC,2024
muslim,74,FBC,2024
willis,73,FBC,2024
christians,72,FBC,2024
statin,67,FBC,2024
soviet,66,FBC,2024
dutch,60,FBC,2024
spanish,58,FBC,2024
african,54,FBC,2024
islamic,53,FBC,2024
jean,53,FBC,2024
cuban,52,FBC,2024
d.,52,FBC,2024
american,14681,FBC,2023
republicans,10217,FBC,2023
democrats,10105,FBC,2023
americans,9214,FBC,2023
chinese,7057,FBC,2023
republican,5961,FBC,2023
democrat,3427,FBC,2023
israeli,2431,FBC,2023
sean,1691,FBC,2023
russian,1634,FBC,2023
jewish,1320,FBC,2023
israelis,1248,FBC,2023
iranian,1140,FBC,2023
palestinian,915,FBC,2023
communist,856,FBC,2023
european,836,FBC,2023
christian,722,FBC,2023
russians,710,FBC,2023
palestinians,673,FBC,2023
mexican,666,FBC,2023
democratic,591,FBC,2023
jews,575,FBC,2023
creepy,408,FBC,2023
iranians,404,FBC,2023
british,376,FBC,2023
french,374,FBC,2023
hispanic,288,FBC,2023
canadian,264,FBC,2023
japanese,260,FBC,2023
saudi,246,FBC,2023
arab,224,FBC,2023
asian,217,FBC,2023
pro-palestinian,207,FBC,2023
europeans,176,FBC,2023
indian,167,FBC,2023
islamic,164,FBC,2023
italian,162,FBC,2023
muslim,138,FBC,2023
jean,133,FBC,2023
german,133,FBC,2023
christians,128,FBC,2023
dutch,122,FBC,2023
australian,114,FBC,2023
catholic,107,FBC,2023
hispanics,101,FBC,2023
hawaiian,100,FBC,2023
taiwanese,99,FBC,2023
afghan,90,FBC,2023
african-american,86,FBC,2023
marxist,86,FBC,2023
american,17086,FBC,2016
republican,15020,FBC,2016
republicans,11185,FBC,2016
democrats,10675,FBC,2016
americans,9434,FBC,2016
democrat,3561,FBC,2016
democratic,2520,FBC,2016
chinese,2450,FBC,2016
islamic,2344,FBC,2016
british,2263,FBC,2016
muslim,2178,FBC,2016
european,2111,FBC,2016
russian,1920,FBC,2016
muslims,1719,FBC,2016
russians,1436,FBC,2016
african-american,1218,FBC,2016
german,1196,FBC,2016
mexican,1192,FBC,2016
iranian,1041,FBC,2016
french,1016,FBC,2016
hispanic,991,FBC,2016
iranians,959,FBC,2016
syrian,904,FBC,2016
christian,890,FBC,2016
japanese,828,FBC,2016
cuban,731,FBC,2016
italian,687,FBC,2016
sean,683,FBC,2016
christians,666,FBC,2016
islam,632,FBC,2016
african-americans,629,FBC,2016
hispanics,497,FBC,2016
canadian,412,FBC,2016
europeans,399,FBC,2016
iraqi,388,FBC,2016
saudi,388,FBC,2016
asian,382,FBC,2016
israeli,375,FBC,2016
jewish,375,FBC,2016
egyptian,326,FBC,2016
arab,308,FBC,2016
islamist,263,FBC,2016
germans,259,FBC,2016
african,214,FBC,2016
belgian,209,FBC,2016
catholic,200,FBC,2016
jihadist,191,FBC,2016
palestinians,191,FBC,2016
mexicans,190,FBC,2016
israelis,181,FBC,2016
american,8307,FBC,2014
republicans,6040,FBC,2014
americans,5768,FBC,2014
democrats,4232,FBC,2014
republican,3020,FBC,2014
russian,2331,FBC,2014
chinese,1747,FBC,2014
islamic,1340,FBC,2014
democrat,1038,FBC,2014
russians,904,FBC,2014
european,800,FBC,2014
willis,679,FBC,2014
french,541,FBC,2014
iraqi,530,FBC,2014
democratic,514,FBC,2014
british,490,FBC,2014
israeli,451,FBC,2014
canadian,432,FBC,2014
asian,355,FBC,2014
syrian,323,FBC,2014
japanese,312,FBC,2014
europeans,302,FBC,2014
malaysian,288,FBC,2014
german,284,FBC,2014
mexican,272,FBC,2014
iranian,251,FBC,2014
arab,251,FBC,2014
christian,232,FBC,2014
italian,222,FBC,2014
muslim,222,FBC,2014
african-american,197,FBC,2014
kurdish,186,FBC,2014
hispanic,185,FBC,2014
cuban,180,FBC,2014
israelis,175,FBC,2014
islamist,173,FBC,2014
african,169,FBC,2014
iranians,162,FBC,2014
dabs,158,FBC,2014
sunni,150,FBC,2014
iraqis,147,FBC,2014
kurds,145,FBC,2014
indian,135,FBC,2014
creepy,126,FBC,2014
palestinians,109,FBC,2014
soviet,105,FBC,2014
germans,102,FBC,2014
sean,101,FBC,2014
african-americans,101,FBC,2014
afghan,100,FBC,2014
republicans,3717,FBC,2012
american,3062,FBC,2012
americans,2555,FBC,2012
democrats,2193,FBC,2012
republican,1891,FBC,2012
democrat,560,FBC,2012
chinese,530,FBC,2012
european,502,FBC,2012
democratic,356,FBC,2012
muslim,325,FBC,2012
iranian,262,FBC,2012
willis,225,FBC,2012
israeli,183,FBC,2012
german,161,FBC,2012
british,146,FBC,2012
libyan,141,FBC,2012
iranians,139,FBC,2012
french,137,FBC,2012
japanese,135,FBC,2012
egyptian,133,FBC,2012
arab,130,FBC,2012
islamic,129,FBC,2012
greek,129,FBC,2012
spanish,124,FBC,2012
israelis,122,FBC,2012
cme,117,FBC,2012
hispanic,115,FBC,2012
canadian,115,FBC,2012
christian,112,FBC,2012
russian,99,FBC,2012
italian,99,FBC,2012
jewish,92,FBC,2012
syrian,84,FBC,2012
anti-american,83,FBC,2012
asian,71,FBC,2012
europeans,69,FBC,2012
mexican,66,FBC,2012
russians,65,FBC,2012
muslims,62,FBC,2012
egyptians,55,FBC,2012
hispanics,50,FBC,2012
palestinians,48,FBC,2012
north american,42,FBC,2012
islam,41,FBC,2012
palestinian,38,FBC,2012
sean,37,FBC,2012
african-american,36,FBC,2012
iraqi,34,FBC,2012
dutch,31,FBC,2012
indian,30,FBC,2012
european,17018,Bloomberg,2017
chinese,16015,Bloomberg,2017
american,12841,Bloomberg,2017
republicans,11227,Bloomberg,2017
french,7841,Bloomberg,2017
republican,7808,Bloomberg,2017
russian,7752,Bloomberg,2017
democrats,7639,Bloomberg,2017
german,6449,Bloomberg,2017
japanese,5245,Bloomberg,2017
asian,5096,Bloomberg,2017
americans,4758,Bloomberg,2017
british,4580,Bloomberg,2017
russians,2838,Bloomberg,2017
saudi,2627,Bloomberg,2017
italian,2062,Bloomberg,2017
korean,1757,Bloomberg,2017
spanish,1734,Bloomberg,2017
mexican,1646,Bloomberg,2017
north korean,1645,Bloomberg,2017
islamic,1535,Bloomberg,2017
canadian,1358,Bloomberg,2017
australian,1353,Bloomberg,2017
democrat,1299,Bloomberg,2017
south korean,1235,Bloomberg,2017
fu,1147,Bloomberg,2017
indian,1113,Bloomberg,2017
dutch,1109,Bloomberg,2017
muslim,1104,Bloomberg,2017
syrian,1104,Bloomberg,2017
irish,1073,Bloomberg,2017
europeans,1051,Bloomberg,2017
sean,987,Bloomberg,2017
ian,966,Bloomberg,2017
democratic,956,Bloomberg,2017
greek,771,Bloomberg,2017
germans,763,Bloomberg,2017
israeli,759,Bloomberg,2017
iranian,703,Bloomberg,2017
arab,625,Bloomberg,2017
iranians,600,Bloomberg,2017
turkish,568,Bloomberg,2017
swiss,553,Bloomberg,2017
christian,531,Bloomberg,2017
jean,503,Bloomberg,2017
north american,487,Bloomberg,2017
south african,485,Bloomberg,2017
iraqi,479,Bloomberg,2017
north koreans,457,Bloomberg,2017
koreans,440,Bloomberg,2017
chinese,12295,Bloomberg,2021
european,11866,Bloomberg,2021
democrats,4822,Bloomberg,2021
american,4494,Bloomberg,2021
asian,3891,Bloomberg,2021
republicans,3598,Bloomberg,2021
americans,3194,Bloomberg,2021
german,2056,Bloomberg,2021
japanese,2023,Bloomberg,2021
republican,1962,Bloomberg,2021
french,1409,Bloomberg,2021
australian,1266,Bloomberg,2021
russian,1175,Bloomberg,2021
british,1129,Bloomberg,2021
indian,926,Bloomberg,2021
korean,782,Bloomberg,2021
italian,737,Bloomberg,2021
democrat,572,Bloomberg,2021
democratic,561,Bloomberg,2021
europeans,553,Bloomberg,2021
canadian,459,Bloomberg,2021
spanish,375,Bloomberg,2021
afghan,342,Bloomberg,2021
ian,339,Bloomberg,2021
saudi,329,Bloomberg,2021
christian,326,Bloomberg,2021
south korean,320,Bloomberg,2021
south african,306,Bloomberg,2021
dutch,294,Bloomberg,2021
iranian,282,Bloomberg,2021
russians,269,Bloomberg,2021
israeli,255,Bloomberg,2021
germans,250,Bloomberg,2021
olaf,236,Bloomberg,2021
dovish,229,Bloomberg,2021
afghans,211,Bloomberg,2021
swiss,203,Bloomberg,2021
irish,203,Bloomberg,2021
thai,181,Bloomberg,2021
african,178,Bloomberg,2021
greek,158,Bloomberg,2021
indonesian,151,Bloomberg,2021
english,147,Bloomberg,2021
taiwanese,147,Bloomberg,2021
jean,144,Bloomberg,2021
asia-pacific,141,Bloomberg,2021
islamic,135,Bloomberg,2021
turkish,134,Bloomberg,2021
african-american,130,Bloomberg,2021
palestinians,126,Bloomberg,2021
chinese,9350,Bloomberg,2014
american,9218,Bloomberg,2014
russian,8745,Bloomberg,2014
european,6542,Bloomberg,2014
republicans,4952,Bloomberg,2014
americans,4173,Bloomberg,2014
french,3924,Bloomberg,2014
democrats,3103,Bloomberg,2014
german,3059,Bloomberg,2014
russians,2876,Bloomberg,2014
republican,2818,Bloomberg,2014
fu,2216,Bloomberg,2014
japanese,1963,Bloomberg,2014
british,1962,Bloomberg,2014
islamic,1507,Bloomberg,2014
israeli,1351,Bloomberg,2014
asian,1322,Bloomberg,2014
italian,1303,Bloomberg,2014
iraqi,982,Bloomberg,2014
canadian,974,Bloomberg,2014
europeans,973,Bloomberg,2014
malaysian,926,Bloomberg,2014
indian,871,Bloomberg,2014
israelis,726,Bloomberg,2014
germans,726,Bloomberg,2014
spanish,716,Bloomberg,2014
australian,682,Bloomberg,2014
palestinians,651,Bloomberg,2014
iranians,613,Bloomberg,2014
syrian,589,Bloomberg,2014
palestinian,586,Bloomberg,2014
arab,569,Bloomberg,2014
democrat,566,Bloomberg,2014
scottish,550,Bloomberg,2014
sunni,541,Bloomberg,2014
ferrari,530,Bloomberg,2014
iranian,527,Bloomberg,2014
pro-russian,527,Bloomberg,2014
greek,525,Bloomberg,2014
democratic,474,Bloomberg,2014
dutch,419,Bloomberg,2014
muslim,397,Bloomberg,2014
english,361,Bloomberg,2014
swiss,360,Bloomberg,2014
brazilian,349,Bloomberg,2014
kurdish,349,Bloomberg,2014
soviet,341,Bloomberg,2014
korean,333,Bloomberg,2014
iraqis,332,Bloomberg,2014
african,322,Bloomberg,2014
european,16149,Bloomberg,2016
chinese,15252,Bloomberg,2016
american,10670,Bloomberg,2016
republican,10404,Bloomberg,2016
republicans,8434,Bloomberg,2016
japanese,6771,Bloomberg,2016
democrats,5613,Bloomberg,2016
german,5176,Bloomberg,2016
british,5020,Bloomberg,2016
americans,4435,Bloomberg,2016
italian,4292,Bloomberg,2016
asian,4021,Bloomberg,2016
russian,3735,Bloomberg,2016
french,3240,Bloomberg,2016
islamic,2462,Bloomberg,2016
saudi,1863,Bloomberg,2016
russians,1517,Bloomberg,2016
democratic,1484,Bloomberg,2016
democrat,1372,Bloomberg,2016
african-american,1344,Bloomberg,2016
mexican,1319,Bloomberg,2016
fu,1311,Bloomberg,2016
canadian,1283,Bloomberg,2016
australian,1211,Bloomberg,2016
greek,1054,Bloomberg,2016
syrian,1031,Bloomberg,2016
indian,941,Bloomberg,2016
brazilian,876,Bloomberg,2016
ian,873,Bloomberg,2016
spanish,825,Bloomberg,2016
europeans,815,Bloomberg,2016
muslim,790,Bloomberg,2016
iranian,783,Bloomberg,2016
muslims,727,Bloomberg,2016
turkish,714,Bloomberg,2016
sean,684,Bloomberg,2016
african-americans,683,Bloomberg,2016
iranians,645,Bloomberg,2016
swiss,620,Bloomberg,2016
iraqi,597,Bloomberg,2016
korean,589,Bloomberg,2016
hispanic,559,Bloomberg,2016
israeli,512,Bloomberg,2016
african,497,Bloomberg,2016
germans,481,Bloomberg,2016
christian,472,Bloomberg,2016
egyptian,470,Bloomberg,2016
dutch,465,Bloomberg,2016
irish,435,Bloomberg,2016
cuban,432,Bloomberg,2016
european,16518,Bloomberg,2020
chinese,14654,Bloomberg,2020
american,7012,Bloomberg,2020
democrats,6672,Bloomberg,2020
republicans,5325,Bloomberg,2020
americans,4845,Bloomberg,2020
asian,4510,Bloomberg,2020
german,3245,Bloomberg,2020
republican,2906,Bloomberg,2020
japanese,2660,Bloomberg,2020
british,2204,Bloomberg,2020
french,1804,Bloomberg,2020
australian,1675,Bloomberg,2020
indian,1195,Bloomberg,2020
italian,1172,Bloomberg,2020
democratic,1120,Bloomberg,2020
russian,1082,Bloomberg,2020
democrat,1010,Bloomberg,2020
saudi,980,Bloomberg,2020
korean,887,Bloomberg,2020
iranian,758,Bloomberg,2020
europeans,650,Bloomberg,2020
canadian,567,Bloomberg,2020
spanish,554,Bloomberg,2020
ian,545,Bloomberg,2020
african-american,510,Bloomberg,2020
christian,501,Bloomberg,2020
russians,474,Bloomberg,2020
fu,396,Bloomberg,2020
swiss,364,Bloomberg,2020
dutch,361,Bloomberg,2020
jean,355,Bloomberg,2020
south korean,338,Bloomberg,2020
african-americans,336,Bloomberg,2020
germans,304,Bloomberg,2020
iranians,294,Bloomberg,2020
african,253,Bloomberg,2020
iraqi,241,Bloomberg,2020
irish,227,Bloomberg,2020
asia-pacific,206,Bloomberg,2020
sean,204,Bloomberg,2020
thai,202,Bloomberg,2020
palestinians,198,Bloomberg,2020
norwegian,194,Bloomberg,2020
hispanic,194,Bloomberg,2020
greek,193,Bloomberg,2020
palestinian,189,Bloomberg,2020
malaysian,178,Bloomberg,2020
english,174,Bloomberg,2020
north korean,172,Bloomberg,2020
chinese,26086,Bloomberg,2019
european,19231,Bloomberg,2019
american,7847,Bloomberg,2019
democrats,6830,Bloomberg,2019
german,5771,Bloomberg,2019
asian,4826,Bloomberg,2019
british,3889,Bloomberg,2019
japanese,3883,Bloomberg,2019
republicans,3046,Bloomberg,2019
french,3004,Bloomberg,2019
americans,2402,Bloomberg,2019
saudi,2367,Bloomberg,2019
republican,2067,Bloomberg,2019
italian,1983,Bloomberg,2019
indian,1785,Bloomberg,2019
iranian,1737,Bloomberg,2019
russian,1736,Bloomberg,2019
australian,1727,Bloomberg,2019
irish,1463,Bloomberg,2019
europeans,1223,Bloomberg,2019
democratic,1219,Bloomberg,2019
mexican,1036,Bloomberg,2019
democrat,1021,Bloomberg,2019
canadian,967,Bloomberg,2019
korean,955,Bloomberg,2019
ian,738,Bloomberg,2019
christian,723,Bloomberg,2019
spanish,714,Bloomberg,2019
dovish,705,Bloomberg,2019
jean,677,Bloomberg,2019
russians,588,Bloomberg,2019
south korean,555,Bloomberg,2019
fu,533,Bloomberg,2019
islamic,500,Bloomberg,2019
turkish,453,Bloomberg,2019
iranians,453,Bloomberg,2019
swiss,450,Bloomberg,2019
dutch,437,Bloomberg,2019
north korean,386,Bloomberg,2019
germans,378,Bloomberg,2019
indonesian,377,Bloomberg,2019
u.s.-china,376,Bloomberg,2019
permian,376,Bloomberg,2019
north american,364,Bloomberg,2019
african-american,341,Bloomberg,2019
israeli,325,Bloomberg,2019
kurdish,322,Bloomberg,2019
brazilian,312,Bloomberg,2019
african,312,Bloomberg,2019
greek,288,Bloomberg,2019
chinese,11047,Bloomberg,2023
european,7924,Bloomberg,2023
japanese,3834,Bloomberg,2023
american,3534,Bloomberg,2023
asian,3385,Bloomberg,2023
republicans,2002,Bloomberg,2023
russian,1870,Bloomberg,2023
republican,1413,Bloomberg,2023
german,1387,Bloomberg,2023
indian,1366,Bloomberg,2023
americans,1311,Bloomberg,2023
democrats,1298,Bloomberg,2023
australian,1143,Bloomberg,2023
french,1117,Bloomberg,2023
israeli,947,Bloomberg,2023
korean,775,Bloomberg,2023
swiss,701,Bloomberg,2023
british,650,Bloomberg,2023
saudi,521,Bloomberg,2023
canadian,521,Bloomberg,2023
israelis,415,Bloomberg,2023
christian,396,Bloomberg,2023
palestinian,396,Bloomberg,2023
italian,388,Bloomberg,2023
spanish,353,Bloomberg,2023
greek,305,Bloomberg,2023
palestinians,304,Bloomberg,2023
ian,291,Bloomberg,2023
south korean,289,Bloomberg,2023
europeans,279,Bloomberg,2023
russians,265,Bloomberg,2023
taiwanese,239,Bloomberg,2023
democrat,230,Bloomberg,2023
arab,227,Bloomberg,2023
dovish,226,Bloomberg,2023
iranian,215,Bloomberg,2023
dutch,213,Bloomberg,2023
african,198,Bloomberg,2023
democratic,197,Bloomberg,2023
thai,193,Bloomberg,2023
turkish,183,Bloomberg,2023
english,136,Bloomberg,2023
asia-pacific,130,Bloomberg,2023
olaf,128,Bloomberg,2023
mexican,118,Bloomberg,2023
jewish,115,Bloomberg,2023
ukrainian,115,Bloomberg,2023
sean,114,Bloomberg,2023
north american,114,Bloomberg,2023
swedish,112,Bloomberg,2023
chinese,16313,Bloomberg,2015
greek,11348,Bloomberg,2015
european,10620,Bloomberg,2015
american,10175,Bloomberg,2015
republican,6495,Bloomberg,2015
republicans,6213,Bloomberg,2015
german,5554,Bloomberg,2015
americans,4858,Bloomberg,2015
russian,4775,Bloomberg,2015
french,4598,Bloomberg,2015
democrats,3632,Bloomberg,2015
islamic,3073,Bloomberg,2015
japanese,2815,Bloomberg,2015
asian,2731,Bloomberg,2015
british,2223,Bloomberg,2015
fu,1677,Bloomberg,2015
iranian,1542,Bloomberg,2015
russians,1519,Bloomberg,2015
syrian,1238,Bloomberg,2015
iranians,1207,Bloomberg,2015
germans,1197,Bloomberg,2015
australian,1163,Bloomberg,2015
italian,1157,Bloomberg,2015
spanish,1071,Bloomberg,2015
canadian,1064,Bloomberg,2015
europeans,1063,Bloomberg,2015
ian,1016,Bloomberg,2015
swiss,990,Bloomberg,2015
democrat,808,Bloomberg,2015
israeli,787,Bloomberg,2015
iraqi,781,Bloomberg,2015
muslim,774,Bloomberg,2015
indian,748,Bloomberg,2015
democratic,742,Bloomberg,2015
muslims,722,Bloomberg,2015
saudi,644,Bloomberg,2015
arab,636,Bloomberg,2015
brazilian,625,Bloomberg,2015
korean,514,Bloomberg,2015
cuban,498,Bloomberg,2015
mexican,490,Bloomberg,2015
dutch,479,Bloomberg,2015
christian,447,Bloomberg,2015
african-american,442,Bloomberg,2015
jewish,402,Bloomberg,2015
israelis,394,Bloomberg,2015
jean,389,Bloomberg,2015
malaysian,378,Bloomberg,2015
irish,362,Bloomberg,2015
sunni,353,Bloomberg,2015
american,663,Bloomberg,2013
chinese,497,Bloomberg,2013
